
length	num
8	2
14	1
8	4
9	1
8	4
9	1
7	3
8	2
7	5
8	8
8	1
8	3
8	7
8	3
9	1
8	5
17	2
9	2
8	2
9	1
8	1
8	1
8	7
9	4
7	4
8	5
7	25
8	7
9	1
8	3
9	1
8	8
8	4
8	3
8	8
7	24
17	2
13	1
8	4
19	1
7	10
8	5
8	2
12	2
19	1
10	1
12	1
8	2
7	3
7	7
8	5
9	3
7	4
9	4
9	1
8	2
8	4
8	4
9	1
14	1
9	1
9	2
7	24
8	9
8	5
8	2
8	4
7	3
10	1
8	2
8	4
11	2
8	1
9	1
11	1
8	2
8	5
8	5
8	2
10	1
9	2
7	7
7	6
10	1
12	1
9	8
8	4
27	2
8	15
8	3
12	2
8	3
8	1
10	1
8	3
8	7
8	7
16	2
14	1
8	1
7	6
9	3
9	1
9	3
10	1
10	2
8	2
8	1
9	5
11	8
8	4
9	8
8	2
8	3
9	2
20	3
7	7
9	5
8	15
8	1
8	1
8	7
7	7
7	12
10	4
8	5
9	6
20	1
8	1
8	6
9	3
10	1
11	1
10	1
8	9
8	1
8	3
9	2
9	1
8	9
8	8
8	6
7	9
8	1
8	1
8	4
19	1
7	2
8	1
8	2
9	1
9	4
15	1
11	2
8	4
8	3
9	6
7	5
7	6
7	1
8	5
14	3
28	1
7	1
10	2
11	1
10	1
8	3
9	1
8	5
7	2
12	2
7	21
19	2
8	1
13	1
22	2
8	2
18	4
7	22
7	4
7	2
8	1
10	2
10	1
8	3
9	6
7	1
12	2
8	1
8	6
7	2
8	8
9	7
7	4
9	5
9	2
11	1
9	3
7	5
15	5
9	2
8	6
8	1
9	2
9	1
9	5
8	4
9	1
13	3
10	5
7	7
9	2
10	1
9	5
9	1
8	1
12	1
7	6
19	1
7	5
8	3
8	3
8	8
9	1
8	1
8	4
8	2
9	7
10	1
7	19
8	1
8	1
8	5
9	2
8	6
8	9
9	1
10	1
7	18
7	4
8	2
11	1
9	2
8	8
8	2
9	2
8	3
8	6
8	3
8	3
10	1
8	1
9	7
9	4
9	3
8	5
8	1
14	1
7	1
11	2
10	2
8	5
8	1
7	4
8	4
8	2
8	10
11	1
10	1
10	2
8	6
8	2
8	8
8	3
17	1
8	3
10	1
8	6
8	2
8	5
8	1
8	3
11	1
9	1
10	6
8	5
13	1
7	21
11	1
8	8
8	7
11	3
8	3
9	5
8	3
9	2
8	1
8	8
7	2
8	8
8	3
7	5
8	2
9	7
7	4
8	1
8	1
20	2
15	4
8	2
10	1
11	2
12	2
8	5
9	3
15	2
8	2
7	2
8	1
8	1
10	1
7	2
8	2
8	7
7	2
9	2
8	5
8	6
8	2
8	3
8	6
9	4
8	2
8	1
10	2
7	4
11	1
9	2
9	1
8	5
10	3
8	2
8	1
15	1
9	2
10	2
8	2
12	3
7	5
8	2
12	2
8	10
7	5
10	1
7	5
29	3
10	5
7	4
9	1
8	2
8	4
10	1
12	1
8	6
9	1
8	5
7	13
9	6
8	7
9	3
7	4
9	2
9	2
13	1
7	4
10	5
10	1
8	2
9	4
10	1
17	1
10	1
8	4
8	1
10	3
8	1
8	7
10	3
7	4
10	2
14	1
18	3
7	1
10	1
9	2
8	7
9	1
8	4
10	1
8	7
8	2
9	5
9	3
8	5
8	8
8	10
23	1
8	1
8	1
8	3
8	6
11	1
7	1
8	1
7	7
23	3
8	2
8	1
8	1
9	6
9	2
9	4
7	1
9	1
13	2
8	2
7	3
9	5
13	1
11	1
8	2
8	2
9	1
11	3
9	1
9	5
8	7
8	2
7	22
8	1
8	5
9	1
8	3
10	1
7	5
9	1
8	9
16	1
7	6
8	2
8	5
8	3
7	7
9	4
7	8
8	5
10	2
8	7
8	1
10	3
12	1
9	4
8	5
8	7
9	3
10	1
7	6
8	2
14	2
9	1
8	7
8	5
8	4
8	2
8	3
7	17
8	3
7	2
8	5
8	3
8	3
8	7
9	1
8	5
8	2
8	5
9	1
7	4
17	3
7	7
9	1
9	10
7	3
20	6
7	28
10	9
8	1
8	2
10	4
7	4
23	1
10	2
7	4
9	6
7	4
9	2
11	1
7	5
7	5
10	1
8	7
9	1
10	1
18	1
8	1
8	1
8	3
8	2
9	1
8	4
9	1
10	1
8	6
9	2
8	3
9	3
10	2
9	1
11	1
7	1
7	6
10	1
7	6
11	1
21	1
8	1
9	9
9	7
8	3
8	2
9	7
7	3
8	1
9	2
8	1
9	5
9	2
10	3
8	4
8	3
8	1
11	6
8	5
8	3
9	7
13	2
9	3
9	2
9	2
9	2
8	4
25	3
9	2
7	2
10	3
